id,vayu,source,answer,desc
1,【S4】,第一届随蓝知识竞赛,十月革命,这一事件发生于1917年，它宣告了第一个无产阶级专政国家的成立。因其发生在俄历十月而得名。
2,【D4】,第一届随蓝知识竞赛,电磁感应,这一现象是指放在变化磁通量中的导体，会产生电动势。发现者是法拉第。
3,【W4】,第一届随蓝知识竞赛,瓮牖绳枢,比喻贫穷人家，最早说的是陈涉的房子的门窗构造。
4,【L5】,第一届随蓝知识竞赛,蓝色多瑙河,被称为“奥地利的第二国歌”，作者是小约翰斯特劳斯，是一首圆舞曲，提到了欧洲第二长河。
8,【B2】,第一届随蓝知识竞赛,冰壶,这是一项4对4的体育运动，是一项冬季运动，有“冰上国际象棋”的称号，也叫冰上溜石。
10,【C2】,第一届随蓝知识竞赛,萃取,这是一种分离混合物的操作，是利用系统中组分在溶剂中有不同的溶解度来实现的，通常完成这一操作后会进行分液。
12,【A5】,第一届随蓝知识竞赛,阿伏伽德罗,这位化学家提出同温同压同体积的气体分子数相同，以他命名的常数为一摩尔物质所含的基本单元数量。
13,【F2】,第一届随蓝知识竞赛,佛系,这个网络流行词于2014年起源于日本，在2017年底才在国内流传开。表达的是一种有目的地放下的生活态度。首字是一个宗教名。
17,【C2】,第一届随蓝知识竞赛,单于,这是一个复姓，也是匈奴首领的称号。
21,【C4】,第一届随蓝知识竞赛,澶渊之盟,这是北宋与辽在经过25年战争后缔结的盟约。
27,【W2】,第一届随蓝知识竞赛,韦庄,他是花间派的代表人物，也是韦应物的四世孙。代表作是《秦妇吟》。
32,【B5】,第一届随蓝知识竞赛,毕达哥拉斯,这位古希腊哲学家、数学家提出的一个定理在中国称为勾股定理。
34,【H3】,第一届随蓝知识竞赛,华尔兹,这是一种舞蹈形式，采用3/4拍音乐，也称圆舞，用字母W表示，因其首字母为W。
35,【Y2】,第一届随蓝知识竞赛,氧化,这个词狭义上是指物质获得某种元素的过程，广义上是物质失去电子的过程。
39,【X5】,第一届随蓝知识竞赛,夕阳无限好,这是李商隐登上乐游原后看到的景象。
40,【F3】,第一届随蓝知识竞赛,粉刷匠,这是一首波兰儿歌，歌曲只有5个音，歌名是一个职业。主人公的鼻子最后变了样。
42,【H2】,第一届随蓝知识竞赛,贺铸,这位词人因其貌不扬被称为“鬼头”，因著名的“梅子黄时雨”被称为“贺梅子”。
43,【B7】,第一届随蓝知识竞赛,不尽长江滚滚流,这是辛弃疾在北固亭所写，与杜甫《登高》一句只差一字，描写长江的气势。
47,【G4】,第一届随蓝知识竞赛,高锰酸钾,这是一种强氧化剂，固体为黑色，溶液为紫色，加热分解可以产生氧气。
