id,vayu,source,answer,desc
16,【S4】,第一届随蓝知识竞赛,三长两短,这个成语是指意外的灾祸，据说与棺材上的木料数有关，也特指人的死亡。
22,【F4】,第一届随蓝知识竞赛,淝水之战,这是一场战役，成语风声鹤唳、草木皆兵均出自对这场战役的描述。
29,【H7】,第一届随蓝知识竞赛,何当共剪西窗烛,这个问句是李商隐思念妻子所发出的感慨。这句诗演化出了一个成语“剪烛西窗”。
31,【W4】,第一届随蓝知识竞赛,为人作嫁,这个成语比喻空替别人辛苦，出自秦韬玉的《贫女》，诗中有名句“苦恨年年压金线”。
54,【F4】,第一届随蓝知识竞赛,风花雪月,这个成语可以形容爱情之事和空洞的诗文，也指大理四景。
75,【W4】,第一届随蓝知识竞赛,兀兀穷年,这个成语出自《进学解》，指辛辛苦苦地一年到头勤劳不懈。常与焚膏继晷连用。
99,【Y4】,第一届随蓝知识竞赛,摇尾乞怜,这个成语最初指的是动物的一种行为，意思是装出一副可怜相向人讨好。词中有动物的一个后部的器官。
125,【C4】,第一届随蓝知识竞赛,惨淡经营,这个成语原指绘画之前的精心构思，现形容苦心筹划，营谋某事。出自杜甫《丹青引赠曹将军霸》
134,【X4】,第一届随蓝知识竞赛,心有灵犀,这个成语比喻十分默契，据说与一种动物的角有关。李商隐《无题》中使用过。
140,【C4】,第一届随蓝知识竞赛,春树暮云,这个成语可以表达对远方友人的思念，字面上是渭北和江东的两种景物，出自杜甫的《春日忆李白》。
156,【Y4】,第一届随蓝知识竞赛,鱼传尺素,这个成语最早出自《饮马长城窟行》，比喻书信。秦观曾在踏莎行中与驿寄梅花连用。
158,【H4】,第一届随蓝知识竞赛,害群之马,这是个成语，英语中用black sheep来表达同样意思，指危害集体的人，成语中也有一种动物。
174,【X4】,第一届随蓝知识竞赛,夏雨雨人,这个成语比喻对人及时的教化，就好像是一个季节的天气给人以滋润。类似的成语还有“春风风人”。
194,【W4】,第一届随蓝知识竞赛,吴下阿蒙,这个成语指的是人才疏学浅，但该成语最初所指的人在后来有了转变。是三国时期吕蒙的故事。
216,【B4】,第一届随蓝知识竞赛,百舸争流,这句词也是一个成语，是毛主席所写，形容人们争相前进，最初指的是水上的船。
217,【Y2】,第一届随蓝知识竞赛,睚眦,这是中国古代的神兽，龙生九子之一，为第二子，因其怒目而视而得名。其名字也引申出了一个成语，比喻瞪眼这样的小仇也要计较。
222,【P4】,第一届随蓝知识竞赛,萍水相逢,这个成语出自《滕王阁序》，比喻不认识的人偶然相遇。就像水草与水一样
230,【W4】,第一届随蓝知识竞赛,韦编三绝,这个成语比喻读书勤奋，是孔子的一个典故，他读《周易》时穿书的竹简断了好几次。
238,【M4】,第一届随蓝知识竞赛,名落孙山,这个成语提到了一个以最后一名考中的人。意思是名次在这个人之后，即落第。
240,【E4】,第二届随蓝知识竞赛,二三其德,这个成语表示不专一，没有一定的操守，有两个数字。出自《诗经·氓》。前两个字是两个相邻的数字。
242,【Q4】,第二届随蓝知识竞赛,求之不得,这个成语也是《诗经》的一句。指想找也找不到，也指迫切希望得到。出自《关雎》
255,【L4】,第二届随蓝知识竞赛,李代桃僵,这个成语是三十六计之一，比喻替人受过。含有两种植物。
262,【C4】,第二届随蓝知识竞赛,长亭短亭,这个成语指旅程遥远，本义是古代送别供旅人休息的两种地方，分别为十里一个和五里一个。
278,【C4】,第二届随蓝知识竞赛,陈陈相因,这个成语最初指的是粮食的积累，后来比喻沿袭老一套。是AABC式。
279,【P4】,第二届随蓝知识竞赛,庞然大物,这个成语最早用来形容驴，在《浮生六记》中也形容过癞蛤蟆。意思是非常大的东西。
310,【X4】,第二届随蓝知识竞赛,兄弟阋墙,这个成语出自诗经，比喻内部不和。《诗经·棠棣》中“外御其侮”的上句提到了这个成语。
314,【Y4】,第二届随蓝知识竞赛,一板一眼,这个成语比喻说话或者做事有条理，最早指的是戏曲的节拍。第一和第三个字是数字。
324,【A4】,第二届随蓝知识竞赛,爱屋及乌,这个成语与英语中“Love me
327,【L7】,第二届随蓝知识竞赛,梨花一枝春带雨,这句诗描写了杨贵妃流泪的样子，是成语“梨花带雨”的出处。
335,【F4】,第三届随蓝知识竞赛,风花雪月,这个成语是谜语“大虫凤窝吃掉鸟，七人坟上长青草，细雨下在横山上，朋友一半不见了”的谜底，出自无门和尚的“春有百花秋有月，夏有凉风冬有雪”。
379,【L2】,第三届随蓝知识竞赛,刘禅,这是一位皇帝，出生于荆州，幼年时多遭难，但多次被赵云相救。成语“乐不思蜀”便与他有关。
400,【S4】,第三届随蓝知识竞赛,水落石出,这个成语曾被刻在一件工艺品上，意思是真相大白。在苏轼的《后赤壁赋》中有出现。
409,【B4】,第三届随蓝知识竞赛,不三不四,这个成语可以认为是π的谜底，因其大小介于两个整数之间。形容不正派或不像样。
438,【T4】,第三届随蓝知识竞赛,逃之夭夭,这个成语出自诗经，在作为成语时首字有改动，与溜之大吉意思接近。
447,【X4】,第三届随蓝知识竞赛,相见恨晚,这个成语可以形容遇到知己的心情：怎么这么迟才遇见你呀！
469,【J4】,第三届随蓝知识竞赛,鸡鸣狗盗,这个成语可以指微不足道的本领，与孟尝君的两位门客学习两种动物的行为有关。
473,【S4】,第三届随蓝知识竞赛,石破天惊,这个成语原形容一种乐器的声音，现在指声音大得惊人，或者文章议论惊人。出自《李凭箜篌引》。
476,【W4】,第三届随蓝知识竞赛,万无一失,这个成语是谜语“0000”的谜底。指非常有把握。
477,【L4】,第三届随蓝知识竞赛,梁上君子,这个成语最早是陈太丘对小偷的别称，那个小偷躲在屋梁上。
478,【C4】,第三届随蓝知识竞赛,出类拔萃,这个成语出自《孟子》，是孟子用来形容孔子之类的圣人，其中最后一个字指草丛生的样子。该成语比喻超出同类之上。
497,【J4】,第三届随蓝知识竞赛,近乡情怯,这个成语表达了游子还乡的复杂心情。出自宋之问的《渡汉江》中“不敢问来人”的上一句。
506,【T4】,第三届随蓝知识竞赛,投桃报李,这个成语出自《诗经·大雅·抑》，比喻友好的回报。成语中有两种水果。
516,【Z4】,第三届随蓝知识竞赛,炙手可热,这个成语可以形容嚣张的权势，在杜甫《丽人行》中有出现，字面意思是手摸着烫人。
517,【G4】,第三届随蓝知识竞赛,高牙大纛,这个成语可以比喻声势显赫，它指的是军队中的大旗。其中最后一个字共25画。该成语在《汉听圈的字》中出现过。
518,【H5】,第三届随蓝知识竞赛,火树银花合,这句诗描写了灯火璀璨的景象，前四个字是个成语，树上挂满了灯，就好像开花一样。出自苏味道的《正月十五夜》。
541,【G4】,第四届随蓝知识竞赛,高朋满座,这个成语适用于描述大型宴请，出自《滕王阁序》，形容来的客人很多。
555,【H4】,第四届随蓝知识竞赛,红妆素裹/红装素裹,这个成语可以形容妇女的衣着，也可以形容雪后的景色，红日与白雪互相映衬，出自毛主席的一首《沁园春》。
