id,vayu,source,answer,desc
5,【B7】,第一届随蓝知识竞赛,不爱红装爱武装,这是毛主席的诗句，赞扬了女民兵不喜欢装扮喜欢军事，上句是中华儿女多奇志。
9,【X7】,第一届随蓝知识竞赛,休将白发唱黄鸡,这是一句词，表明人应该保持老当益壮的豁达，而非感慨时间流逝，是苏轼游蕲水所写。
11,【F7】,第一届随蓝知识竞赛,芳草萋萋鹦鹉洲,这句诗写到了武汉的一个地名，作者是崔颢。该地名中有一种鸟的名字。
14,【L11】,第一届随蓝知识竞赛,六月二十七日望湖楼醉书,这组诗共5首，是苏轼游杭州西湖后所写。前六个字点明了时间。以写雨景的第一首最有名。
18,【T7】,第一届随蓝知识竞赛,天若有情天亦老,这句诗最早为李贺所写，后被毛主席所引用。它假设了上天也会因感慨而衰老。
19,【T2】,第一届随蓝知识竞赛,唐寅,“吴门四家”“吴中四才子”“六如居士”“桃花庵主”都与这位画家、诗人有关。
20,【J3】,第一届随蓝知识竞赛,贾探春,这是红楼梦中的人物，为庶出。她创立了海棠诗社，住在秋爽斋。结局是远嫁海疆。
24,【L7】,第一届随蓝知识竞赛,绿杨阴里白沙堤,这句诗写了白居易在西湖最喜欢的景物。是《钱塘湖春行》的最后一句。
25,【J6】,第一届随蓝知识竞赛,惊起一滩鸥鹭,这句词是作者酒后迷路所导致的后果。出自一首《如梦令》。
26,【M5】,第一届随蓝知识竞赛,满纸荒唐言,这是红楼开篇的一句诗，下句是“一把辛酸泪”。
33,【D7】,第一届随蓝知识竞赛,点水蜻蜓款款飞,这句诗描写了一种昆虫产卵的现象。上句是“穿花蛱蝶深深见”。
36,【G3】,第一届随蓝知识竞赛,龟虽寿,这是曹操《步出夏门行》的一首，表达了作者老当益壮的情怀。“老骥伏枥”出自这首诗。
37,【C7】,第一届随蓝知识竞赛,吹面不寒杨柳风,这是诗僧志南的一句诗，写的是春风。朱自清在《春》中引用过。
38,【Z3】,第一届随蓝知识竞赛,竹里馆,这是王维曾住的一个地方，因周围有竹林而得名。“独坐幽篁里”出自同名诗。
41,【D9】,第一届随蓝知识竞赛,但闻燕山胡骑鸣啾啾,这是一句乐府诗，写了主人公离开黄河后所听到的军队声。出自《木兰辞》。
44,【S7】,第一届随蓝知识竞赛,塞上燕脂凝夜紫,这句诗写的是血迹。作者将战场夜晚的暗紫色血迹比作了化妆品。出自《雁门太守行》。
