id,vayu,source,answer,desc
6,【X3】,第一届随蓝知识竞赛,星期五,1.黑色 2.金 3.鲁滨逊 4.金曜日
7,【G2】,第一届随蓝知识竞赛,高斯,1.德国 2.王子 3.等差数列 4.正十七边形
15,【P2】,第一届随蓝知识竞赛,平明,1.天亮 2.宫门 3.楚山 4.白羽
23,【W2】,第一届随蓝知识竞赛,围棋,1.361 2.go 3.烂柯 4.手谈
28,【H2】,第一届随蓝知识竞赛,荷兰,1.橙色 2.郁金 3.海牙 4.风车
30,【E3】,第一届随蓝知识竞赛,二十三,1.刘禹锡 2.箜篌 3.糖瓜 4.数字
89,【M2】,第一届随蓝知识竞赛,木兰,1.植物 2.传奇 3.玉楼春 4.从军
94,【T2】,第一届随蓝知识竞赛,骰子,1.骨头 2.6 3.红豆 4.博彩
104,【F2】,第一届随蓝知识竞赛,浮云,1.富贵 2.游子 3.不义 4.神马
110,【L2】,第一届随蓝知识竞赛,零度,1.可乐 2.冰水 3.子午 4.绝对
113,【M4】,第一届随蓝知识竞赛,梅兰竹菊,1.邮票 2.花名 3.麻将 4.四君子
115,【L3】,第一届随蓝知识竞赛,李龟年,1.相思 2.乐师 3.江南 4.岐王
121,【F3】,第一届随蓝知识竞赛,方程式,1.未知 2.赛车 3.相等 4.反应
137,【J2】,第一届随蓝知识竞赛,剪刀,1.春风 2.石头 3.裁缝 4.燕尾
145,【L2】,第一届随蓝知识竞赛,联想,1.电脑 2.张信哲 3.思维 4.题型
159,【Z3】,第一届随蓝知识竞赛,总统府,1.七条 2.台湾/南京 3.建筑 4.蒋介石
160,【F2】,第一届随蓝知识竞赛,风筝,1.孙燕姿 2.富兰克林 3.潍坊 4.纸鸢
164,【A4】,第一届随蓝知识竞赛,阿基米德,1.希腊 2.内切球 3.浮力 4.杠杆
165,【G2】,第一届随蓝知识竞赛,桂花,1.八月 2.一流 3.冷露 4.春山
169,【H3】,第一届随蓝知识竞赛,浣溪沙,1.西施 2.韩偓 3.无可奈何 4.词牌名
176,【E3】,第一届随蓝知识竞赛,二维码,1.黑白 2.正方形 3.QR 4.扫描
178,【Q2】,第一届随蓝知识竞赛,麒麟,1.墨玉 2.手臂 3.神兽 4.卢俊义
